CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;118
RefMandelCalculator;512;1536;1024;100;118
RefMandelCalculator;512;1536;1024;100;119
LineMandelCalculator;512;1536;1024;100;12
LineMandelCalculator;512;1536;1024;100;12
LineMandelCalculator;512;1536;1024;100;12
RefMandelCalculator;1024;3072;2048;100;474
RefMandelCalculator;1024;3072;2048;100;474
RefMandelCalculator;1024;3072;2048;100;474
BatchMandelCalculator;512;1536;1024;100;12
BatchMandelCalculator;512;1536;1024;100;12
BatchMandelCalculator;512;1536;1024;100;12
LineMandelCalculator;1024;3072;2048;100;47
LineMandelCalculator;1024;3072;2048;100;47
LineMandelCalculator;1024;3072;2048;100;47
RefMandelCalculator;2048;6144;4096;100;1891
RefMandelCalculator;2048;6144;4096;100;1892
RefMandelCalculator;2048;6144;4096;100;1891
BatchMandelCalculator;1024;3072;2048;100;47
BatchMandelCalculator;1024;3072;2048;100;47
BatchMandelCalculator;1024;3072;2048;100;47
LineMandelCalculator;2048;6144;4096;100;187
LineMandelCalculator;2048;6144;4096;100;187
RefMandelCalculator;4096;12288;8192;100;7541
RefMandelCalculator;4096;12288;8192;100;7546
LineMandelCalculator;2048;6144;4096;100;187
RefMandelCalculator;4096;12288;8192;100;7538
BatchMandelCalculator;2048;6144;4096;100;182
BatchMandelCalculator;2048;6144;4096;100;182
BatchMandelCalculator;2048;6144;4096;100;183
LineMandelCalculator;4096;12288;8192;100;747
LineMandelCalculator;4096;12288;8192;100;747
RefMandelCalculator;512;1536;1024;1000;1041
LineMandelCalculator;4096;12288;8192;100;747
RefMandelCalculator;512;1536;1024;1000;1042
RefMandelCalculator;512;1536;1024;1000;1041
BatchMandelCalculator;4096;12288;8192;100;717
BatchMandelCalculator;4096;12288;8192;100;715
BatchMandelCalculator;4096;12288;8192;100;718
LineMandelCalculator;512;1536;1024;1000;75
RefMandelCalculator;1024;3072;2048;1000;4168
LineMandelCalculator;512;1536;1024;1000;75
RefMandelCalculator;1024;3072;2048;1000;4169
RefMandelCalculator;1024;3072;2048;1000;4169
BatchMandelCalculator;512;1536;1024;1000;66
LineMandelCalculator;512;1536;1024;1000;75
BatchMandelCalculator;512;1536;1024;1000;67
BatchMandelCalculator;512;1536;1024;1000;66
LineMandelCalculator;1024;3072;2048;1000;296
RefMandelCalculator;2048;6144;4096;1000;16676
LineMandelCalculator;1024;3072;2048;1000;296
RefMandelCalculator;2048;6144;4096;1000;16670
RefMandelCalculator;2048;6144;4096;1000;16676
BatchMandelCalculator;1024;3072;2048;1000;258
LineMandelCalculator;1024;3072;2048;1000;296
BatchMandelCalculator;1024;3072;2048;1000;259
BatchMandelCalculator;1024;3072;2048;1000;259
LineMandelCalculator;2048;6144;4096;1000;1130
RefMandelCalculator;4096;12288;8192;1000;66672
RefMandelCalculator;4096;12288;8192;1000;66696
RefMandelCalculator;4096;12288;8192;1000;66700
BatchMandelCalculator;2048;6144;4096;1000;1020
LineMandelCalculator;2048;6144;4096;1000;1131
LineMandelCalculator;2048;6144;4096;1000;1131
BatchMandelCalculator;2048;6144;4096;1000;1019
BatchMandelCalculator;2048;6144;4096;1000;1020
LineMandelCalculator;4096;12288;8192;1000;4321
BatchMandelCalculator;4096;12288;8192;1000;4046
LineMandelCalculator;4096;12288;8192;1000;4325
LineMandelCalculator;4096;12288;8192;1000;4319
BatchMandelCalculator;4096;12288;8192;1000;4046
BatchMandelCalculator;4096;12288;8192;1000;4046
